Variant,Mean Pred ARI,Median Pred ARI,Mean Regret,Median Regret,Within 10% of Max %
Base (Full),0.35278976945374374,0.24597229533674264,0.04880864184957076,0.005170366845438923,90.0
DACE→Simple Stats,0.2800076124005017,0.1870401697679048,0.12159079890281281,0.0572940782987819,65.0
PMA→Mean Pool,0.30216496720801916,0.18976759174062055,0.09943344409529536,0.0170150703541505,75.0
No Col. Attn.,0.31654904954260843,0.24597229533674264,0.08504936176070607,0.0170150703541505,70.0
