dataset,k-means,k-medians,spectral_clustering,ward,agglomerative,dbscan,hdbscan,optics,birch,gaussian,mean_shift,affinity_propagation
BreastTissue,3.385615240000334,6.5417837770000915,1.2578820700000506,0.42159354699924734,0.43976417999965633,0.17174138100017444,0.20349096199970518,2.662695869000345,0.5438095069994233,0.4389879079999446,4.821374565999577,0.28368124200005695
BreastWisconsin,2.7299404030000005,12.285473916000228,1.5559489999996003,1.8368208120000418,2.112102930000219,0.25064267399920936,1.0241250809995108,11.659775570999955,1.5146923980000793,0.4413774670001658,33.15894386200034,5.933494961000179
Ecoli,5.4791083390000495,15.633884101000149,1.3991692990002775,1.3092513920000783,1.209291185999973,0.26443678099985846,0.3170119849992261,7.6449975000005,0.5044801900003222,0.6307782789999692,20.83180620100029,1.4176789509992886
Glass,4.654451582000547,9.918541519000428,1.1023019550002573,0.8263481390004017,0.7334148740001183,0.20813089199964452,0.2511739279998437,4.920204752000245,0.3656869260003077,0.830235007999363,9.809554015000685,0.8463142230002632
Haberman,2.2342266579998977,2.4415185989992096,0.8000039349999497,0.7361202779993619,0.9668702700000722,0.21266854599980434,0.2754169660001935,6.908336784999847,0.4045727939992503,0.47967353199965146,23.836151713000618,1.031344818999969
Ionosphere,2.6759184230004394,9.29561391199968,4.652549641000405,1.9481686859999172,1.2292470410002352,0.20251660000030824,0.5862583220005035,6.839179598000555,0.82155593600055,0.8414548439995997,16.006390960000317,2.3632653960003154
Iris,2.4714171460000216,3.7836351340001784,0.8234648600000583,0.5212375829996745,0.35367851499995595,0.17582193699945492,0.21329355200032296,3.4431489180005883,0.22276215100009722,0.37508885900024325,8.10363540399976,0.9787032900003396
Movement_libras,11.354749047999576,55.26031601900013,22.207953602999623,1.3213975420003408,1.695731189000071,0.2046550869999919,1.1929959140006758,7.568807981999271,0.8858781879998787,0.7835839179997492,15.31844236500001,4.100898020999921
Musk,4.538121773000057,24.551288460999785,69.54598799999985,2.5257558499997685,3.052427013999477,0.27081344699945475,3.4119054799994046,11.451202791000469,1.592471320000186,0.5481484540005113,21.52088763000029,5.587138798000524
Parkinsons,2.6389355169994815,4.996766721000313,3.7758613659998446,0.7310892549994605,0.7452170669994302,0.1636463509994428,0.277451526000732,3.745015174999935,0.42625521999980265,0.37522837100004836,8.959297327999593,0.6233906380002736
Segmentation,11.939889765999396,62.69495659900076,227.24312481500056,10.446260435000113,6.236006465000173,1.3401635489999535,7.483604471000035,57.96914491499956,5.56890914899941,1.7298916709996774,68.91370188900055,71.05589219299964
SonarAll,2.418589365999651,8.554456720000417,24.75969281400012,0.8598226599997361,0.7613531070001045,0.165584743999716,0.41450575799990474,4.102376105000076,0.5130729040001825,0.4124326189994463,6.0417038259993205,0.6254309370006013
Spectf,2.388416001999758,12.577613888999622,35.99887086600029,1.0012926119998156,1.1758582849997765,0.18067981199965288,0.4761882279999554,5.24163376100023,0.7119729570003983,0.23661796000033064,5.708583378000185,2.4739955020004345
Transfusion,2.6781503089996477,4.220687539999744,2.8516973120003968,1.841301514999941,1.8993719430000056,0.45021513200026675,0.5288225149997743,17.220548909000172,1.045674725999561,0.7404759290002403,53.04469960700044,11.641734538000492
Vehicle,5.554601802999969,27.339592252999864,2.4626710659995297,3.1219303739999305,2.736613224999928,0.33816002500043396,1.2429575810001552,17.321421415999794,2.221151501999884,0.6519921740000427,64.03272343300068,25.278922899999998
VertebralColumn,2.995047983999939,8.145159615000011,0.9035212720000345,1.207437187999858,1.1378430139993725,0.2394224240006224,0.28452904900041176,7.016929947999415,0.5692194140001448,0.3934977769995385,24.12739399899965,1.4474022250005874
Vowel_context,9.490049305999491,52.21909641000002,4.837071269000262,3.17855637699995,3.7517775830001483,1.3142563750006957,1.245529617000102,23.424482229000205,1.628886746999342,1.1250994809997792,62.77616765699986,23.228029527000217
Wine,2.4109872579992953,4.1739839679994475,0.8659545209993667,0.5581050099999629,0.6978894570002012,0.20516497199969308,0.2497455289994832,4.121109259999685,0.41376972700072656,0.19274531599967304,8.599249580000105,0.6837433569999121
WineQualityRed,9.794382446999407,61.08121625199965,201.57926926799973,8.018502560999877,7.46964546900017,3.016529516999981,3.2755807319999803,40.109593081999265,4.159240464000504,1.6255501340001501,66.00257832199986,66.86372839399974
Yeast,11.359974795999733,52.21542514599969,7.503537952999977,7.230796465999447,8.045430533000399,2.159420156000124,2.391886601999431,36.41702748099942,4.408619374000409,1.7459310690001075,69.19608607100054,67.46828720999929
